date;titre;réalisateur;genre;durée
1982;Moonlighting;Jerzy Skolimowski;Drame / Romance;97
1984;Success Is the Best Revenge;Jerzy Skolimowski;Drame;91
1984;Story of O – Chapter 2;Éric Rochat;Érotique / Drame;95
1985;My Beautiful Laundrette;Stephen Frears;Romance / Comédie;97
1985;Insignificance;Nicolas Roeg;Comédie / Satire;110
1986;The Zero Boys;Nico Mastorakis;Horreur / Action;89
1986;Separate Vacations;Michael Anderson;Comédie;91
1987;Terminal Exposure;Nico Mastorakis;Comédie;103
1987;Nightmare at Noon;Nico Mastorakis;Horreur / Action;96
1987;The Wind;Nico Mastorakis;Horreur / Western;92
1987;The Nature of the Beast;Franco Rosso;Mystère / Thriller;95
1988;The Fruit Machine;Philip Saville;LGBT / Thriller;103
1988;A World Apart;Chris Menges;Drame / Indépendant;113
1988;Taffin;Francis Megahy;Action / Drame;95
1988;Paperhouse;Bernard Rose;Horreur / Romance;92
1988;Rain Man;Barry Levinson;Mélodrame;134
1988;Burning Secret;Andrew Birkin;LGBT / Thriller;106
1989;Twister;Michael Almereyda;Catastrophe / Action;93
1989;Black Rain;Ridley Scott;Action / Suspense;125
1989;Diamond Skulls;Nick Broomfield;Drame / Thriller;100
1989;Driving Miss Daisy;Bruce Beresford;Comédie / Drame;99
1990;Chicago Joe and the Showgirl;Bernard Rose;Drame / Thriller;103
1990;Bird on a Wire;John Badham;Action / Comédie;110
1990;Fools of Fortune;Pat O'Connor;Romance / Drame;109
1990;Days of Thunder;Tony Scott;Automobile / Action;108
1990;Pacific Heights;John Schlesinger;Drame / Suspense;102
1990;Green Card;Peter Weir;Comédie / Romance;107
1991;Backdraft;Ron Howard;Action / Drame;137
1991;Thelma & Louise;Ridley Scott;Comédie / Aventure;129
1991;Regarding Henry;Mike Nichols;Drame;107
1991;Where Sleeping Dogs Lie;Charles Finch;Mystère / Suspense;91
1991;K2;Franc Roddam;Action / Drame;104
1992;Radio Flyer;Richard Donner;Fantaisie / Drame;114
1992;The Power of One;John G. Avildsen;Drame;127
1992;A League of Their Own;Penny Marshall;Sport / Drame;128
1992;Toys;Barry Levinson;Comédie / Enfants;122
1993;Point of No Return;John Badham;Action / Romance;101
1993;Younger and Younger;Percy Adlon;Comédie / Fantaisie;99
1993;Calendar Girl;John Whitesell;Amour / Fiction;90
1993;True Romance;Tony Scott;Romance / Action;118
1993;Cool Runnings;Jon Turteltaub;Sport / Comédie;98
1993;The House of the Spirits;Bille August;Romance / Drame;140
1994;I'll Do Anything;James L. Brooks;Comédie / Drame;115
1994;Renaissance Man;Penny Marshall;Comédie / Drame;128
1994;The Lion King;Roger Allers;Enfants / Musique;88
1994;Drop Zone;John Badham;Action / Suspense;101
1995;Crimson Tide;Tony Scott;Guerre / Action;116
1995;Beyond Rangoon;John Boorman;Action / Aventure;99
1995;Nine Months;Chris Columbus;Romance / Comédie;103
1995;Something to Talk About;Lasse Hallström;Romance / LGBT;105
1995;Two Deaths;Nicolas Roeg;Romance / Drame;102
1996;The Whole Wide World;Dan Ireland;Romance / Drame;106
1996;Broken Arrow;John Woo;Action / Aventure;108
1996;Muppet Treasure Island;Brian Henson;Musique / Action;100
1996;The Rock;Michael Bay;Action / Aventure;136
1996;The Fan;Tony Scott;Thriller / Criminel;116
1996;The Preacher's Wife;Penny Marshall;Romance / Comédie;124
1997;Smilla's Sense of Snow;Bille August;Roman / Mystère;121
1997;The Peacemaker;Mimi Leder;Super-héros / Comédie;124
1997;As Good as It Gets;James L. Brooks;Comédie / Romance;139
1998;The Last Days;James Moll;Musique / Drame;87
1998;The Prince of Egypt;Brenda Chapman;Enfants / Musique;99
1998;The Thin Red Line;Terrence Malick;Guerre / Drame;170
1999;Chill Factor;Hugh Johnson;Action;101
